#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:testPrimates" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:testPrimates" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:testPrimates">
#                <taxonset id="TaxonSet.testPrimates" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:testPrimates" name="distribution" x="@birthRate.t:testPrimates">
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:testPrimates" name="distribution">
#            <parameter id="kappa.s:testPrimates" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@testPrimates" id="treeLikelihood.testPrimates" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:testPrimates">
#            <siteModel id="SiteModel.s:testPrimates" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:testPrimates" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:testPrimates" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:testPrimates" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:testPrimates" kappa="@kappa.s:testPrimates" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:testPrimates" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:testPrimates" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:testPrimates" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:testPrimates" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
0	-3989.5731035453405	-3981.654223533615	-7.918880011725271	-3981.654223533615	2.149165168540222	-6.053519977750984	1.0	2.0	0.25	0.25	0.25	0.25	
1000	-1930.0239893442795	-1938.330784143204	8.306794798924637	-1938.330784143204	0.05575961794808657	10.172154832898924	12.808549630934802	2.0	0.25	0.25	0.25	0.25	
2000	-1890.6601607449297	-1898.7719379634623	8.111777218532623	-1898.7719379634623	0.05714594938582802	10.595366364988642	21.700371173080764	3.708509160744277	0.25	0.24977447865605207	0.2422520776602842	0.2579734436836637	
3000	-1875.2604873425	-1882.0083175988311	6.747830256331165	-1882.0083175988311	0.06151607706258444	9.844226386177878	24.309546530345667	5.849583515418891	0.25	0.24977447865605207	0.2422520776602842	0.2579734436836637	
4000	-1863.1271714289753	-1867.873058627224	4.745887198248849	-1867.873058627224	0.06945148489268302	9.350584952007136	12.259888972026243	13.754666830073758	0.2536054537072697	0.2621765856592844	0.2386466239530145	0.24557133668043132	
5000	-1864.8936152149163	-1869.2213545727093	4.327739357793007	-1869.2213545727093	0.06734754542599249	10.070229766980837	17.45169396966226	23.054533942732622	0.2536054537072697	0.2621765856592844	0.24361467563100836	0.24060328500243747	
6000	-1866.117672319431	-1868.7046333746055	2.5869610551744024	-1868.7046333746055	0.08485130490857393	8.329451464362233	30.68614682832839	23.054533942732622	0.2608667588914222	0.25491528047513196	0.24361467563100836	0.24060328500243747	
7000	-1864.9846855930432	-1867.560426006328	2.5757404132848407	-1867.560426006328	0.07165223657754799	8.318230822472671	35.12777590590983	23.054533942732622	0.2608667588914222	0.24838404878074843	0.24841648081542875	0.2423327115124006	
8000	-1865.7943896102352	-1868.1380091031767	2.343619492941638	-1868.1380091031767	0.07012521602863236	8.086109902129468	39.330794846531866	23.054533942732622	0.25492120109529354	0.2543296065768771	0.24841648081542875	0.2423327115124006	
9000	-1858.3123383788484	-1862.906124051583	4.59378567273459	-1862.906124051583	0.06427184024526775	9.770440929035523	35.360829922155276	18.00553695820859	0.2688264016586276	0.2543296065768771	0.24059150561482148	0.2362524861496738	
10000	-1855.247171957539	-1859.9457468416344	4.698574884095505	-1859.9457468416344	0.06427261263614878	9.183339081039453	32.78598520824884	12.961274285504318	0.2764932485496407	0.2543296065768771	0.23292465872380835	0.2362524861496738	
